City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Fort Collins,US,2021-08-26 22:22:48,40.5853,-105.0844,89.85,33,1,5.01,clear sky
240,Machali,CL,2021-08-26 22:25:28,-34.1833,-70.6667,56.48,54,0,6.91,clear sky
241,Never,FR,2021-08-26 22:25:29,46.9896,3.159,62.35,77,9,9.4,clear sky
242,Bucerias,MX,2021-08-26 22:21:45,20.75,-105.3333,88.99,74,75,9.22,broken clouds
243,Tobol,KZ,2021-08-26 22:25:29,52.6844,62.5794,67.73,40,3,7.38,clear sky
244,Shiyan,CN,2021-08-26 22:25:30,32.6475,110.7781,63.52,97,100,2.93,light rain
245,Mokhsogollokh,RU,2021-08-26 22:25:30,61.4681,128.9203,52.74,92,87,4.56,overcast clouds
246,Naryan-Mar,RU,2021-08-26 22:25:31,67.6713,53.087,40.03,95,71,8.19,broken clouds
247,Cabo San Lucas,MX,2021-08-26 22:25:31,22.8909,-109.9124,99.52,58,20,8.05,few clouds
248,Akureyri,IS,2021-08-26 22:25:31,65.6835,-18.0878,57.13,77,0,1.14,clear sky
249,Yeppoon,AU,2021-08-26 22:25:32,-23.1333,150.7333,58.78,66,0,5.7,clear sky
250,Antofagasta,CL,2021-08-26 22:24:05,-23.65,-70.4,58.28,80,48,7.45,scattered clouds
251,Codrington,AU,2021-08-26 22:25:32,-38.2667,141.9667,40.03,95,13,6.91,few clouds
252,Manakara,MG,2021-08-26 22:25:33,-22.1333,48.0167,67.59,84,45,4.45,scattered clouds
253,Ketchikan,US,2021-08-26 22:25:33,55.3422,-131.6461,61.27,82,90,4.61,light rain
254,Coreau,BR,2021-08-26 22:25:34,-3.5333,-40.6567,84.29,43,11,7.16,few clouds
255,Tibati,CM,2021-08-26 22:25:34,6.4667,12.6333,67.75,96,100,3.65,light rain
256,Butka,RU,2021-08-26 22:25:34,56.7179,63.7866,60.8,95,100,8.14,overcast clouds
257,Baruun-Urt,MN,2021-08-26 22:25:35,46.6806,113.2792,49.37,92,100,7.83,moderate rain
258,Agadez,NE,2021-08-26 22:25:35,19.75,10.25,89.53,27,6,12.95,clear sky
259,Coihaique,CL,2021-08-26 22:25:36,-45.5752,-72.0662,42.75,61,75,0.0,broken clouds
260,Hualmay,PE,2021-08-26 22:25:36,-11.0964,-77.6139,63.57,81,96,9.71,overcast clouds
